"[Município]","Cód. IBGE","UF","Região","Fabricante","Total de doses aplicadas","1ª Dose D1","2ª Dose D2","Dose Adicional DA","Dose Reforço DR","Dose Única DU"
"Araxá","00000000310400","MG","Sudeste","JANSSEN","4,866","0","0","2","6","4,858"
"Araxá","00000000310400","MG","Sudeste","PFIZER/BIONTECH","50,186","30,971","14,170","1,430","3,615","0"
"Arceburgo","00000000310410","MG","Sudeste","BUTANTAN/SINOVAC","3,888","2,095","1,792","0","1","0"
"Arceburgo","00000000310410","MG","Sudeste","FIOCRUZ/ASTRAZENECA","5,965","2,988","2,900","0","77","0"
"Arceburgo","00000000310410","MG","Sudeste","JANSSEN","547","0","0","0","262","285"
"Arceburgo","00000000310410","MG","Sudeste","PFIZER/BIONTECH","7,676","2,316","2,051","31","3,278","0"
"Arco-Íris","00000000350335","SP","Sudeste","BUTANTAN/SINOVAC","1,695","762","740","21","172","0"
"Arco-Íris","00000000350335","SP","Sudeste","FIOCRUZ/ASTRAZENECA","1,339","684","596","0","59","0"
"Arco-Íris","00000000350335","SP","Sudeste","JANSSEN","52","0","0","0","21","31"
"Arco-Íris","00000000350335","SP","Sudeste","PFIZER/BIONTECH","1,677","416","582","3","676","0"
"Arcos","00000000310420","MG","Sudeste","BUTANTAN/SINOVAC","16,423","8,442","7,981","0","0","0"
"Arcos","00000000310420","MG","Sudeste","FIOCRUZ/ASTRAZENECA","26,257","13,307","12,946","0","4","0"
"Arcos","00000000310420","MG","Sudeste","JANSSEN","2,673","0","0","0","1,179","1,494"
"Arcos","00000000310420","MG","Sudeste","PFIZER/BIONTECH","34,302","12,712","11,178","38","10,374","0"
"Arcoverde","00000000260120","PE","Nordeste","BUTANTAN/SINOVAC","28,981","15,373","13,593","0","15","0"
"Arcoverde","00000000260120","PE","Nordeste","FIOCRUZ/ASTRAZENECA","41,703","22,074","19,612","1","16","0"
"Arcoverde","00000000260120","PE","Nordeste","JANSSEN","9,419","0","0","2","2,263","7,154"
"Arcoverde","00000000260120","PE","Nordeste","PFIZER/BIONTECH","45,881","19,049","12,971","132","13,729","0"
"Areado","00000000310430","MG","Sudeste","BUTANTAN/SINOVAC","5,489","2,876","2,613","0","0","0"
"Areado","00000000310430","MG","Sudeste","FIOCRUZ/ASTRAZENECA","7,889","4,036","3,832","21","0","0"
"Areado","00000000310430","MG","Sudeste","JANSSEN","604","0","0","8","244","352"
"Areado","00000000310430","MG","Sudeste","PFIZER/BIONTECH","11,345","4,203","3,227","2,907","1,008","0"
"Areal","00000000330022","RJ","Sudeste","BUTANTAN/SINOVAC","5,296","2,750","2,489","0","57","0"
"Areal","00000000330022","RJ","Sudeste","FIOCRUZ/ASTRAZENECA","10,711","5,075","4,625","2","1,009","0"
"Areal","00000000330022","RJ","Sudeste","JANSSEN","474","0","0","1","200","273"
"Areal","00000000330022","RJ","Sudeste","PFIZER/BIONTECH","8,561","3,051","2,357","15","3,138","0"
"Arealva","00000000350340","SP","Sudeste","BUTANTAN/SINOVAC","5,601","2,618","2,596","0","387","0"
"Arealva","00000000350340","SP","Sudeste","FIOCRUZ/ASTRAZENECA","6,159","2,895","3,186","1","77","0"
"Arealva","00000000350340","SP","Sudeste","JANSSEN","266","0","0","0","74","192"
"Arealva","00000000350340","SP","Sudeste","PFIZER/BIONTECH","6,062","1,776","1,676","4","2,606","0"
"Areia","00000000250110","PB","Nordeste","BUTANTAN/SINOVAC","10,919","5,862","5,055","0","2","0"
"Areia","00000000250110","PB","Nordeste","FIOCRUZ/ASTRAZENECA","12,925","6,256","6,010","1","658","0"
"Areia","00000000250110","PB","Nordeste","JANSSEN","596","0","0","0","256","340"
"Areia","00000000250110","PB","Nordeste","PFIZER/BIONTECH","17,327","6,888","5,805","17","4,617","0"
"Areia Branca","00000000240110","RN","Nordeste","BUTANTAN/SINOVAC","9,370","5,140","4,220","8","2","0"
"Areia Branca","00000000240110","RN","Nordeste","FIOCRUZ/ASTRAZENECA","15,031","7,670","7,355","6","0","0"
"Areia Branca","00000000240110","RN","Nordeste","JANSSEN","1,655","0","0","0","959","696"
"Areia Branca","00000000240110","RN","Nordeste","PFIZER/BIONTECH","19,314","7,669","5,673","366","5,606","0"
"Areia Branca","00000000280050","SE","Nordeste","BUTANTAN/SINOVAC","7,554","4,263","3,284","0","7","0"
"Areia Branca","00000000280050","SE","Nordeste","FIOCRUZ/ASTRAZENECA","9,675","5,038","4,459","0","178","0"
"Areia Branca","00000000280050","SE","Nordeste","JANSSEN","314","0","0","0","116","198"
"Areia Branca","00000000280050","SE","Nordeste","PFIZER/BIONTECH","13,645","5,728","4,463","9","3,445","0"
"Areia De Baraúnas","00000000250115","PB","Nordeste","BUTANTAN/SINOVAC","1,087","556","531","0","0","0"
"Areia De Baraúnas","00000000250115","PB","Nordeste","FIOCRUZ/ASTRAZENECA","963","484","479","0","0","0"
"Areia De Baraúnas","00000000250115","PB","Nordeste","JANSSEN","70","0","0","0","30","40"
"Areia De Baraúnas","00000000250115","PB","Nordeste","PFIZER/BIONTECH","1,697","582","524","2","589","0"
"Areial","00000000250120","PB","Nordeste","BUTANTAN/SINOVAC","3,564","1,860","1,703","0","1","0"
"Areial","00000000250120","PB","Nordeste","FIOCRUZ/ASTRAZENECA","3,553","1,688","1,657","0","208","0"
"Areial","00000000250120","PB","Nordeste","JANSSEN","188","0","0","0","83","105"
"Areial","00000000250120","PB","Nordeste","PFIZER/BIONTECH","4,963","2,109","1,360","3","1,491","0"
"Areias","00000000350350","SP","Sudeste","BUTANTAN/SINOVAC","2,405","1,165","1,102","1","137","0"
"Areias","00000000350350","SP","Sudeste","FIOCRUZ/ASTRAZENECA","2,595","1,347","1,232","1","15","0"
"Areias","00000000350350","SP","Sudeste","JANSSEN","82","0","0","0","11","71"
"Areias","00000000350350","SP","Sudeste","PFIZER/BIONTECH","2,832","794","917","86","1,035","0"
"Areiópolis","00000000350360","SP","Sudeste","BUTANTAN/SINOVAC","6,585","2,981","3,091","9","504","0"
"Areiópolis","00000000350360","SP","Sudeste","FIOCRUZ/ASTRAZENECA","6,489","2,720","2,889","8","872","0"
"Areiópolis","00000000350360","SP","Sudeste","JANSSEN","459","0","0","0","139","320"
"Areiópolis","00000000350360","SP","Sudeste","PFIZER/BIONTECH","6,001","2,642","2,071","11","1,277","0"
"Arenápolis","00000000510130","MT","Centro-Oeste","BUTANTAN/SINOVAC","3,516","1,832","1,683","0","1","0"
"Arenápolis","00000000510130","MT","Centro-Oeste","FIOCRUZ/ASTRAZENECA","5,891","2,739","2,747","0","405","0"
"Arenápolis","00000000510130","MT","Centro-Oeste","JANSSEN","438","0","0","36","80","322"
"Arenápolis","00000000510130","MT","Centro-Oeste","PFIZER/BIONTECH","6,501","2,830","1,962","72","1,637","0"
"Arenópolis","00000000520235","GO","Centro-Oeste","BUTANTAN/SINOVAC","2,324","1,196","1,128","0","0","0"
"Arenópolis","00000000520235","GO","Centro-Oeste","FIOCRUZ/ASTRAZENECA","1,686","843","843","0","0","0"
"Arenópolis","00000000520235","GO","Centro-Oeste","JANSSEN","20","0","0","0","0","20"
"Arenópolis","00000000520235","GO","Centro-Oeste","PFIZER/BIONTECH","1,995","604","570","0","821","0"
"Arês","00000000240120","RN","Nordeste","BUTANTAN/SINOVAC","4,952","2,766","2,183","1","2","0"
"Arês","00000000240120","RN","Nordeste","FIOCRUZ/ASTRAZENECA","8,004","3,941","3,603","5","455","0"
"Arês","00000000240120","RN","Nordeste","JANSSEN","417","0","0","0","231","186"
"Arês","00000000240120","RN","Nordeste","PFIZER/BIONTECH","10,848","4,566","3,453","189","2,640","0"
"Argirita","00000000310440","MG","Sudeste","BUTANTAN/SINOVAC","1,187","605","582","0","0","0"
"Argirita","00000000310440","MG","Sudeste","FIOCRUZ/ASTRAZENECA","1,551","811","740","0","0","0"
"Argirita","00000000310440","MG","Sudeste","JANSSEN","39","0","0","0","0","39"
"Argirita","00000000310440","MG","Sudeste","PFIZER/BIONTECH","1,375","811","533","14","17","0"
"Aricanduva","00000000310445","MG","Sudeste","BUTANTAN/SINOVAC","2,434","1,291","1,143","0","0","0"
"Aricanduva","00000000310445","MG","Sudeste","FIOCRUZ/ASTRAZENECA","2,855","1,460","1,395","0","0","0"
"Aricanduva","00000000310445","MG","Sudeste","JANSSEN","126","0","0","0","51","75"
"Aricanduva","00000000310445","MG","Sudeste","PFIZER/BIONTECH","4,022","1,620","1,118","0","1,284","0"
"Arinos","00000000310450","MG","Sudeste","BUTANTAN/SINOVAC","6,035","3,167","2,866","0","2","0"
